ID,MONTHS_BALANCE,STATUS,TARGET
5001711,0,X,Good
5001711,-1,0,Good
5001711,-2,0,Good
5001711,-3,0,Good
5001712,0,C,Good
5001712,-1,C,Good
5001712,-2,C,Good
5001712,-3,C,Good
5001712,-4,C,Good
5001712,-5,C,Good
5001712,-6,C,Good
5001712,-7,C,Good
5001712,-8,C,Good
5001712,-9,0,Good
5001712,-10,0,Good
5001712,-11,0,Good
5001712,-12,0,Good
5001712,-13,0,Good
5001712,-14,0,Good
5001712,-15,0,Good
5001712,-16,0,Good
5001712,-17,0,Good
5001712,-18,0,Good
5001713,0,X,Good
5001713,-1,X,Good
5001713,-2,X,Good
5001713,-3,X,Good
5001713,-4,X,Good
5001713,-5,X,Good
5001713,-6,X,Good
5001713,-7,X,Good
5001713,-8,X,Good
5001713,-9,X,Good
5001713,-10,X,Good
5001713,-11,X,Good
5001713,-12,X,Good
5001713,-13,X,Good
5001713,-14,X,Good
5001713,-15,X,Good
5001713,-16,X,Good
5001713,-17,X,Good
5001713,-18,X,Good
5001713,-19,X,Good
5001713,-20,X,Good
5001713,-21,X,Good
5001714,0,X,Good
5001714,-1,X,Good
5001714,-2,X,Good
5001714,-3,X,Good
5001714,-4,X,Good
5001714,-5,X,Good
5001714,-6,X,Good
5001714,-7,X,Good
5001714,-8,X,Good
5001714,-9,X,Good
5001714,-10,X,Good
5001714,-11,X,Good
5001714,-12,X,Good
5001714,-13,X,Good
5001714,-14,X,Good
5001715,0,X,Good
5001715,-1,X,Good
5001715,-2,X,Good
5001715,-3,X,Good
5001715,-4,X,Good
5001715,-5,X,Good
5001715,-6,X,Good
5001715,-7,X,Good
5001715,-8,X,Good
5001715,-9,X,Good
5001715,-10,X,Good
5001715,-11,X,Good
5001715,-12,X,Good
5001715,-13,X,Good
5001715,-14,X,Good
5001715,-15,X,Good
5001715,-16,X,Good
5001715,-17,X,Good
5001715,-18,X,Good
5001715,-19,X,Good
5001715,-20,X,Good
5001715,-21,X,Good
5001715,-22,X,Good
5001715,-23,X,Good
5001715,-24,X,Good
5001715,-25,X,Good
5001715,-26,X,Good
5001715,-27,X,Good
5001715,-28,X,Good
5001715,-29,X,Good
5001715,-30,X,Good
5001715,-31,X,Good
5001715,-32,X,Good
5001715,-33,X,Good
5001715,-34,X,Good
5001715,-35,X,Good
5001715,-36,X,Good
5001715,-37,X,Good
5001715,-38,X,Good
5001715,-39,X,Good
5001715,-40,X,Good
5001715,-41,X,Good
5001715,-42,X,Good
5001715,-43,X,Good
5001715,-44,X,Good
5001715,-45,X,Good
5001715,-46,X,Good
5001715,-47,X,Good
5001715,-48,X,Good
5001715,-49,X,Good
5001715,-50,X,Good
5001715,-51,X,Good
5001715,-52,X,Good
5001715,-53,X,Good
5001715,-54,X,Good
5001715,-55,X,Good
5001715,-56,X,Good
5001715,-57,X,Good
5001715,-58,X,Good
5001715,-59,X,Good
5001717,0,C,Good
5001717,-1,C,Good
5001717,-2,C,Good
5001717,-3,C,Good
5001717,-4,C,Good
5001717,-5,0,Good
5001717,-6,0,Good
5001717,-7,0,Good
5001717,-8,0,Good
